stimuli_presented,participant_id_coded,name,participant_id,silly_or_annoying,intention,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,gender,edu,native,generally_sarcastic,b5_agreeableness,b5_agreeableness_2,b5_conscientiousness,b5_conscientiousness_2,b5_extraversion,b5_extraversion_2,b5_neuroticism,b5_neuroticism_2,b5_openness,b5_openness_2,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,context_type,b5_agree,b5_consci,b5_extra,b5_neuro,b5_open,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever
5nn,51,5nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,6,"['crit_softer', 'mock_hilarious', 'clever']",3,4,1.459880132,0.198444152,0.663229635,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,1,1,0,0,0,0,1
6nn,51,6nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,1,['direct'],1,2,-2.079223218,-1.071598419,-0.483978382,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
7nn,51,7nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,2,['clever'],3,2,-1.371402548,0.198444152,-0.483978382,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,0,0,0,0,1
8nn,51,8nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['mock_friendly'],2,2,0.044238792,-0.436577134,-0.483978382,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,1,0,0,0,0
9nn,51,9nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,5,['direct'],1,1,0.752059462,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
10nn,51,10nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['direct'],1,1,0.044238792,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
11nn,51,11nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,2,"['mock_friendly', 'mock_hilarious', 'clever']",5,6,-1.371402548,1.468486722,1.810437653,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,1,1,0,0,0,1
12nn,51,12nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['be_nice'],1,1,0.044238792,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,0,0,0,1,0
13nn,51,13nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['direct'],1,1,0.044238792,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
10n,51,10n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['natural'],1,1,0.044238792,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,1,0,0,0
15nn,51,15nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,5,['crit_softer'],4,4,0.752059462,0.833465437,0.663229635,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,1,0,0,0,0,0,0
16nn,51,16nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,6,"['crit_softer', 'mock_friendly', 'clever']",6,4,1.459880132,2.103508007,0.663229635,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,1,0,1,0,0,0,1
11n,51,11n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,3,['be_nice'],1,1,-0.663581878,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,0,0,1,0
12n,51,12n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,5,"['mock_hilarious', 'clever']",3,3,0.752059462,0.198444152,0.089625626,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,1,0,0,0,0,1
13n,51,13n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,3,['direct'],1,1,-0.663581878,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
14n,51,14n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['be_nice'],1,2,0.044238792,-1.071598419,-0.483978382,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,0,0,1,0
15n,51,15n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,2,"['mock_hilarious', 'clever']",4,6,-1.371402548,0.833465437,1.810437653,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,1,0,0,0,0,1
16n,51,16n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['mock_friendly'],3,4,0.044238792,0.198444152,0.663229635,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,1,0,0,0,0
7n,51,7n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,6,['mock_hilarious'],1,1,1.459880132,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,1,0,0,0,0,0
8n,51,8n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['direct'],1,1,0.044238792,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
9n,51,9n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,2,['mock_friendly'],2,2,-1.371402548,-0.436577134,-0.483978382,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,1,0,0,0,0
14nn,51,14nn_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,5,"['crit_softer', 'mock_friendly']",4,4,0.752059462,0.833465437,0.663229635,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,nn,4.5,3.5,1.5,1.5,4,0,1,0,1,0,0,0,0
1n,51,1n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,6,['direct'],3,4,1.459880132,0.198444152,0.663229635,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
2n,51,2n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,5,"['mock_hilarious', 'direct']",4,3,0.752059462,0.833465437,0.089625626,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,1,0,0,1,0,0
3n,51,3n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,"['crit_harsher', 'direct']",2,1,0.044238792,-0.436577134,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,1,0,0,0,0,1,0,0
4n,51,4n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,5,"['mock_friendly', 'direct']",5,3,0.752059462,1.468486722,0.089625626,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,1,0,1,0,0
5n,51,5n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,3,['direct'],1,1,-0.663581878,-1.071598419,-1.057582391,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,0,0,0,1,0,0
6n,51,6n_51,44d3c793ede1f970c986752c4bf2d09d2114c03033489fdfe0c1621f67a88892,4,['mock_hilarious'],4,5,0.044238792,0.833465437,1.236833644,male,undergraduate degree,British English,4,5,4,3,4,2,1,2,1,3,5,1,5,4,1,5,n,4.5,3.5,1.5,1.5,4,0,0,1,0,0,0,0,0
1nn,13,1nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,"['natural', 'direct']",1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,1,1,0,0
2nn,13,2nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,"['natural', 'be_nice']",1,1,0.430703284,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,1,0,1,0
3nn,13,3nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,2,"['natural', 'mock_friendly', 'direct']",5,5,-0.717838807,1.157221588,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,1,1,1,0,0
4nn,13,4nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,"['natural', 'mock_friendly']",5,5,0.430703284,1.157221588,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,1,1,0,0,0
5nn,13,5nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,5,['direct'],1,1,1.00497433,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,0,1,0,0
6nn,13,6nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,6,['direct'],1,1,1.579245376,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,0,1,0,0
7nn,13,7nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,['direct'],1,1,0.430703284,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,0,1,0,0
8nn,13,8nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,5,['direct'],2,4,1.00497433,-0.364604062,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,0,1,0,0
9nn,13,9nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,3,"['natural', 'mock_friendly']",5,4,-0.143567761,1.157221588,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,1,1,0,0,0
10nn,13,10nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,6,"['crit_harsher', 'direct']",1,1,1.579245376,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,1,0,0,0,0,1,0,0
11nn,13,11nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,5,"['mock_hilarious', 'direct', 'clever']",6,5,1.00497433,1.664496804,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,1,0,0,1,0,1
12nn,13,12nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,"['mock_friendly', 'direct']",4,4,0.430703284,0.649946371,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,1,0,1,0,0
13nn,13,13nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,"['natural', 'direct']",1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,1,1,0,0
10n,13,10n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,"['crit_harsher', 'direct']",1,1,0.430703284,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,1,0,0,0,0,1,0,0
15nn,13,15nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,6,['direct'],6,5,1.579245376,1.664496804,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,0,0,1,0,0
16nn,13,16nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,5,"['crit_harsher', 'direct']",1,1,1.00497433,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,1,0,0,0,0,1,0,0
11n,13,11n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,['natural'],1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,1,0,0,0
12n,13,12n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,['natural'],4,4,0.430703284,0.649946371,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,1,0,0,0
13n,13,13n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,"['natural', 'direct']",1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,1,1,0,0
14n,13,14n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,2,"['natural', 'mock_friendly', 'clever']",5,5,-0.717838807,1.157221588,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,1,1,0,0,1
15n,13,15n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,['direct'],1,1,0.430703284,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,0,1,0,0
16n,13,16n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,['mock_friendly'],5,5,-1.292109853,1.157221588,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,1,0,0,0,0
7n,13,7n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,5,"['natural', 'mock_hilarious']",4,4,1.00497433,0.649946371,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,1,0,1,0,0,0
8n,13,8n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,"['direct', 'be_nice']",1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,0,1,1,0
9n,13,9n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,"['natural', 'crit_softer']",5,4,0.430703284,1.157221588,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,1,0,0,1,0,0,0
14nn,13,14nn_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,3,"['natural', 'mock_friendly', 'direct']",5,5,-0.143567761,1.157221588,1.325662345,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,nn,3,4,3.5,5,4,0,0,0,1,1,1,0,0
1n,13,1n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,2,['direct'],1,1,-0.717838807,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,0,1,0,0
2n,13,2n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,['natural'],1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,1,0,0,0
3n,13,3n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,"['direct', 'be_nice']",1,1,-1.292109853,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,0,1,1,0
4n,13,4n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,"['mock_friendly', 'direct']",4,4,0.430703284,0.649946371,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,1,0,1,0,0
5n,13,5n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,1,"['natural', 'mock_friendly']",5,4,-1.292109853,1.157221588,0.767488726,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,1,1,0,0,0
6n,13,6n_13,4449491d74f756b9a0d8b96624daa842ba8682e1864d0ef1197150b2267f7daf,4,['direct'],1,1,0.430703284,-0.871879278,-0.907032131,female,graduate degree,British English,6,3,3,3,5,3,4,5,5,3,5,3,3,4,2,5,n,3,4,3.5,5,4,0,0,0,0,0,1,0,0
1nn,14,1nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,4,"['natural', 'crit_harsher', 'mock_friendly', 'clever']",4,4,-0.138157552,0.395557904,0.307470874,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,1,1,0,0,1
2nn,14,2nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,4,"['natural', 'crit_softer', 'mock_friendly', 'clever']",5,5,-0.138157552,0.832035591,0.775997919,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,1,0,1,1,0,0,1
3nn,14,3nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'mock_hilarious', 'direct', 'clever']",6,6,0.84429615,1.268513278,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,1,0,0,1,0,1
4nn,14,4nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,['natural'],6,1,0.84429615,1.268513278,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,0,0,0,1,0,0,0
5nn,14,5nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,5,"['crit_harsher', 'direct', 'clever']",2,2,0.353069299,-0.47739747,-0.629583217,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,0,0,1,0,1
6nn,14,6nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_softer', 'mock_friendly', 'direct', 'clever']",6,4,0.84429615,1.268513278,0.307470874,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,1,0,1,0,1,0,1
7nn,14,7nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'direct']",1,1,0.84429615,-0.913875157,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,0,0,1,0,0
8nn,14,8nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'direct', 'clever']",1,6,0.84429615,-0.913875157,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,0,0,1,0,1
9nn,14,9nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['direct', 'clever']",6,6,0.84429615,1.268513278,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,0,0,0,0,1,0,1
10nn,14,10nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'direct']",2,4,0.84429615,-0.47739747,0.307470874,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,0,0,1,0,0
11nn,14,11nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_softer', 'mock_hilarious', 'direct']",6,6,0.84429615,1.268513278,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,1,1,0,0,1,0,0
12nn,14,12nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_softer', 'mock_friendly']",1,6,0.84429615,-0.913875157,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,1,0,1,0,0,0,0
13nn,14,13nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,2,['direct'],1,1,-1.120611254,-0.913875157,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,0,0,0,0,0,1,0,0
10n,14,10n_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'direct']",1,1,0.84429615,-0.913875157,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,n,3.5,5,1.5,3.5,4,1,0,0,0,0,1,0,0
15nn,14,15nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'direct']",2,5,0.84429615,-0.47739747,0.775997919,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,0,0,1,0,0
16nn,14,16nn_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,6,"['crit_harsher', 'clever']",6,6,0.84429615,1.268513278,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,nn,3.5,5,1.5,3.5,4,1,0,0,0,0,0,0,1
11n,14,11n_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,1,['be_nice'],1,1,-1.611838104,-0.913875157,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,n,3.5,5,1.5,3.5,4,0,0,0,0,0,0,1,0
12n,14,12n_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,3,"['crit_softer', 'mock_friendly', 'mock_hilarious']",6,6,-0.629384403,1.268513278,1.244524965,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,n,3.5,5,1.5,3.5,4,0,1,1,1,0,0,0,0
13n,14,13n_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,1,"['natural', 'be_nice']",1,1,-1.611838104,-0.913875157,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,n,3.5,5,1.5,3.5,4,0,0,0,0,1,0,1,0
14n,14,14n_14,e63091ee43a8fb6b4cf33a47c06f8c7379a1b0c01f79074f2e3ebf9a3751e894,2,['be_nice'],1,1,-1.120611254,-0.913875157,-1.098110263,male,high school diploma,British English,6,5,2,4,6,1,2,2,5,3,5,5,6,5,1,4,n,3.5,5,1.5,3.5,4,0,0,0,0,0,0,1,0
